kod,namn,lan_kod,lan_namn,valid_from,valid_to
0114,Upplands Väsby,01,Stockholms län,2010,9999
0115,Vallentuna,01,Stockholms län,2010,9999
0117,Österåker,01,Stockholms län,2010,9999
0120,Värmdö,01,Stockholms län,2010,9999
0123,Järfälla,01,Stockholms län,2010,9999
0125,Ekerö,01,Stockholms län,2010,9999
0126,Huddinge,01,Stockholms län,2010,9999
0127,Botkyrka,01,Stockholms län,2010,9999
0128,Salem,01,Stockholms län,2010,9999
0136,Haninge,01,Stockholms län,2010,9999
0138,Tyresö,01,Stockholms län,2010,9999
0139,Upplands-Bro,01,Stockholms län,2010,9999
0140,Nykvarn,01,Stockholms län,2010,9999
0160,Täby,01,Stockholms län,2010,9999
0162,Danderyd,01,Stockholms län,2010,9999
0163,Sollentuna,01,Stockholms län,2010,9999
0180,Stockholm,01,Stockholms län,2010,9999
0181,Södertälje,01,Stockholms län,2010,9999
0182,Nacka,01,Stockholms län,2010,9999
0183,Sundbyberg,01,Stockholms län,2010,9999
0184,Solna,01,Stockholms län,2010,9999
0186,Lidingö,01,Stockholms län,2010,9999
0187,Vaxholm,01,Stockholms län,2010,9999
0188,Norrtälje,01,Stockholms län,2010,9999
0191,Sigtuna,01,Stockholms län,2010,9999
0192,Nynäshamn,01,Stockholms län,2010,9999
0305,Håbo,03,Uppsala län,2010,9999
0319,Älvkarleby,03,Uppsala län,2010,9999
0330,Knivsta,03,Uppsala län,2010,9999
0331,Heby,03,Uppsala län,2010,9999
0360,Tierp,03,Uppsala län,2010,9999
0380,Uppsala,03,Uppsala län,2010,9999
0381,Enköping,03,Uppsala län,2010,9999
0382,Östhammar,03,Uppsala län,2010,9999
0428,Vingåker,04,Södermanlands län,2010,9999
0461,Gnesta,04,Södermanlands län,2010,9999
0480,Nyköping,04,Södermanlands län,2010,9999
0481,Oxelösund,04,Södermanlands län,2010,9999
0482,Flen,04,Södermanlands län,2010,9999
0483,Katrineholm,04,Södermanlands län,2010,9999
0484,Eskilstuna,04,Södermanlands län,2010,9999
0486,Strängnäs,04,Södermanlands län,2010,9999
0488,Trosa,04,Södermanlands län,2010,9999
0509,Ödeshög,05,Östergötlands län,2010,9999
0512,Ydre,05,Östergötlands län,2010,9999
0513,Kinda,05,Östergötlands län,2010,9999
